[2025-04-16 15:10:55,129 ] 17 root - INFO - Initiating data ingestion...
[2025-04-16 15:11:23,326 ] 53 root - INFO - Fetched 11055 records from MongoDB collection 'NetworkData'.
[2025-04-16 15:11:23,519 ] 85 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[2025-04-16 15:11:23,519 ] 90 root - INFO - Exporting train and test files to path: Artifacts/04_16_2025_15_10_54/data_ingestion/ingested
[2025-04-16 15:11:23,603 ] 19 root - INFO - Data ingestion completed.
[2025-04-16 15:11:23,612 ] 25 root - INFO - Initiating data validation...
[2025-04-16 15:11:23,638 ] 33 root - INFO - Expected number of columns: 31
[2025-04-16 15:11:23,638 ] 34 root - INFO - Actual number of columns in DataFrame: 31
[2025-04-16 15:11:23,638 ] 33 root - INFO - Expected number of columns: 31
[2025-04-16 15:11:23,638 ] 34 root - INFO - Actual number of columns in DataFrame: 31
[2025-04-16 15:11:23,821 ] 27 root - INFO - Data validation completed.
