[2025-04-16 19:11:29,310 ] 18 root - INFO - Initiating data ingestion...
[2025-04-16 19:13:00,300 ] 53 root - INFO - Fetched 11055 records from MongoDB collection 'NetworkData'.
[2025-04-16 19:13:00,478 ] 85 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[2025-04-16 19:13:00,478 ] 90 root - INFO - Exporting train and test files to path: Artifacts/04_16_2025_19_11_28/data_ingestion/ingested
[2025-04-16 19:13:00,564 ] 20 root - INFO - Data ingestion completed.
[2025-04-16 19:13:00,569 ] 26 root - INFO - Initiating data validation...
[2025-04-16 19:13:00,594 ] 33 root - INFO - Expected number of columns: 31
[2025-04-16 19:13:00,595 ] 34 root - INFO - Actual number of columns in DataFrame: 31
[2025-04-16 19:13:00,595 ] 33 root - INFO - Expected number of columns: 31
[2025-04-16 19:13:00,595 ] 34 root - INFO - Actual number of columns in DataFrame: 31
[2025-04-16 19:13:00,810 ] 28 root - INFO - Data validation completed.
[2025-04-16 19:13:00,811 ] 33 root - INFO - Data Transformation Started.
[2025-04-16 19:13:00,811 ] 57 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-16 19:13:00,811 ] 59 root - INFO - Satrting data transformation
