[2025-04-16 19:38:07,220 ] 18 root - INFO - Initiating data ingestion...
[2025-04-16 19:39:15,938 ] 53 root - INFO - Fetched 11055 records from MongoDB collection 'NetworkData'.
[2025-04-16 19:39:16,131 ] 85 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[2025-04-16 19:39:16,132 ] 90 root - INFO - Exporting train and test files to path: Artifacts/04_16_2025_19_38_06/data_ingestion/ingested
[2025-04-16 19:39:16,212 ] 20 root - INFO - Data ingestion completed.
[2025-04-16 19:39:16,218 ] 26 root - INFO - Initiating data validation...
[2025-04-16 19:39:16,246 ] 33 root - INFO - Expected number of columns: 31
[2025-04-16 19:39:16,246 ] 34 root - INFO - Actual number of columns in DataFrame: 31
[2025-04-16 19:39:16,246 ] 33 root - INFO - Expected number of columns: 31
[2025-04-16 19:39:16,246 ] 34 root - INFO - Actual number of columns in DataFrame: 31
[2025-04-16 19:39:16,471 ] 28 root - INFO - Data validation completed.
[2025-04-16 19:39:16,471 ] 33 root - INFO - Data Transformation Started.
[2025-04-16 19:39:16,471 ] 57 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-16 19:39:16,471 ] 59 root - INFO - Satrting data transformation
[2025-04-16 19:39:16,499 ] 43 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-04-16 19:39:16,499 ] 48 root - INFO - Initialize KNNImputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-16 19:39:16,510 ] 44 root - INFO - Entered the save_object method of MinUtils class
[2025-04-16 19:39:16,514 ] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-16 19:39:16,516 ] 37 root - INFO - Data Transformation Completed.
